,org_id,start_date,churn_date,base_growth,common_base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21
42,61,4/18/17,,0.114720111,0.411389206,0,0,0,0,0,0,0,1,4,7,16,37,52,76,73,97,121,132,145,142,155,160,166
43,62,5/18/17,,0.027522936,0.411389206,0,0,0,0,0,0,0,8,13,15,16,30,32,39,33,35,38,39,39,39,39,39,39
44,63,9/1/17,,0.003051106,0.411389206,0,0,0,0,0,0,0,0,259,265,271,275,286,295,302,258,264,264,27,93,102,4,4
45,65,10/21/15,,0.604919679,0.411389206,0,27,107,154,209,279,368,458,536,654,701,865,825,882,781,790,825,833,865,993,1075,1222,1205
46,67,11/1/16,,0.00495356,0.411389206,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
47,68,11/17/17,8/1/18,0.078125,0.411389206,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0
48,69,2/1/18,11/1/19,0.131868132,0.411389206,0,0,0,0,0,0,0,0,0,0,0,9,16,283,153,78,84,0,0,0,0,0,0
49,70,11/2/16,3/18/20,0.160844842,0.411389206,0,0,0,0,0,11,38,61,90,121,153,176,194,194,194,193,198,198,0,0,0,0,0
50,72,7/18/16,,0.144683324,0.411389206,0,0,0,13,13,13,15,18,41,52,76,95,93,109,99,112,128,120,254,245,250,249,249
51,73,2/8/18,,0.039096438,0.411389206,0,0,0,0,0,0,0,0,0,0,4,6,6,6,7,7,9,27,25,34,35,44,45
52,74,3/21/16,,0.008152174,0.411389206,0,0,0,0,0,0,0,5,6,9,10,16,17,17,17,18,17,15,15,15,15,15,15
53,75,9/1/16,,0.008219178,0.411389206,0,0,0,0,0,0,0,2,2,6,7,8,14,14,16,16,13,13,12,12,0,0,0
54,76,10/6/17,,0.082288401,0.411389206,0,0,0,0,0,0,0,0,3,4,17,36,39,64,57,67,56,48,59,56,74,104,105
55,77,1/18/18,,6.642491468,0.411389206,0,0,0,0,0,0,0,0,0,0,214,752,1529,2098,2538,2865,3174,3981,4848,5966,6382,7035,7785
56,78,3/30/16,,0.170398689,0.411389206,0,0,0,0,0,4,5,16,26,42,59,61,70,102,99,112,131,150,201,200,308,313,312
57,79,6/13/16,,0.0261959,0.411389206,0,0,0,21,22,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46
58,80,6/18/17,,0.158730159,0.411389206,0,0,0,0,0,0,0,0,1,38,43,70,68,94,109,128,174,179,194,154,160,203,220
59,81,9/5/17,11/19/19,0.098258707,0.411389206,0,0,0,0,0,0,0,0,8,39,299,305,79,79,79,79,79,0,0,0,0,0,0
60,82,4/5/17,,0.160958904,0.411389206,0,0,0,0,0,0,3,3,22,62,92,163,229,263,305,296,294,172,178,185,208,215,235
61,83,10/21/15,,0.16064257,0.411389206,0,1,6,21,33,49,65,86,102,110,120,144,173,189,217,228,246,278,296,313,321,320,320
62,84,4/10/17,5/14/19,0.001310616,0.411389206,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
63,86,11/15/15,,0.034570412,0.411389206,0,0,3,14,39,56,78,108,135,160,198,242,236,33,83,121,36,142,98,61,107,18,68
64,87,11/29/17,,0.015548282,0.411389206,0,0,0,0,0,0,0,0,0,34,83,155,225,295,323,346,343,220,223,35,19,19,19
65,89,9/14/17,8/24/18,0.005830904,0.411389206,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
66,90,10/24/17,3/8/19,0.543086172,0.411389206,0,0,0,0,0,0,0,0,0,4,63,168,347,269,0,0,0,0,0,0,0,0,0
67,91,11/28/17,11/30/18,0.254098361,0.411389206,0,0,0,0,0,0,0,0,0,46,52,81,80,0,0,0,0,0,0,0,0,0,0
68,93,6/27/17,,0.007988381,0.411389206,0,0,0,0,0,0,0,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11
69,96,8/24/17,11/7/18,0.006833713,0.411389206,0,0,0,0,0,0,0,0,6,12,24,25,16,0,0,0,0,0,0,0,0,0,0
70,98,2/26/16,,0.00804721,0.411389206,0,0,0,0,0,0,0,0,0,2,2,15,16,16,18,18,19,19,25,15,15,15,15
71,99,11/8/17,,0.271922768,0.411389206,0,0,0,0,0,0,0,0,0,5,19,47,72,96,140,206,263,280,337,338,338,338,338
72,100,3/22/17,8/23/18,0.001930502,0.411389206,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
73,102,8/14/17,,0.62979684,0.411389206,0,0,0,0,0,0,0,0,5,62,142,246,300,328,339,362,404,488,80,544,825,837,837
74,103,11/24/15,,0.01072523,0.411389206,0,0,0,1,1,1,3,15,26,27,27,30,30,32,34,33,35,30,32,33,33,33,21
75,105,9/28/17,,0.134735203,0.411389206,0,0,0,0,0,0,0,0,1,14,17,20,27,14,19,40,84,90,116,136,163,139,173
76,106,8/1/17,3/15/19,0.038983051,0.411389206,0,0,0,0,0,0,0,0,54,80,83,84,84,21,0,0,0,0,0,0,0,0,0
77,107,2/9/18,,0.226086957,0.411389206,0,0,0,0,0,0,0,0,0,0,16,27,39,39,48,82,101,118,188,160,166,217,260
78,109,7/6/17,,0.209064328,0.411389206,0,0,0,0,0,0,0,0,30,38,91,92,188,182,204,254,291,301,306,250,273,276,286
79,110,2/12/18,10/23/20,0.0508647,0.411389206,0,0,0,0,0,0,0,0,0,0,15,22,60,79,96,99,107,96,49,49,50,0,0
80,112,6/20/17,,1.101878613,0.411389206,0,0,0,0,0,0,0,5,31,285,426,886,979,1493,1378,1386,1546,1666,1627,1545,1540,1525,1525
81,113,5/8/17,,0.290819902,0.411389206,0,0,0,0,0,0,0,20,23,56,111,115,126,147,172,187,230,258,293,328,366,397,415
82,114,6/29/16,,0.082183908,0.411389206,0,0,0,0,0,26,26,26,39,74,88,152,127,134,129,124,133,146,154,155,156,144,143
83,115,4/11/16,,0.015942826,0.411389206,0,0,3,8,13,13,14,14,14,15,17,21,23,23,23,25,32,33,29,32,36,32,29
84,116,4/17/17,,0.026933702,0.411389206,0,0,0,0,0,0,3,11,14,14,16,18,18,23,26,32,32,32,33,39,39,39,39
85,117,4/5/17,,0.105479452,0.411389206,0,0,0,0,0,0,39,58,65,86,92,96,102,114,124,132,138,144,143,154,154,154,154
86,118,3/4/16,,0.003769521,0.411389206,0,0,1,1,1,2,4,6,9,13,15,15,13,13,10,8,8,7,7,7,7,7,7
87,119,7/12/17,,0.712922173,0.411389206,0,0,0,0,0,0,0,19,19,19,19,38,42,58,109,317,528,708,747,692,792,881,971
88,120,10/25/16,,0.315659679,0.411389206,0,0,0,0,0,1,2,40,61,77,93,127,159,157,175,175,183,200,212,268,299,382,512
89,121,6/2/17,,0.013552069,0.411389206,0,0,0,0,0,0,0,8,9,14,17,19,19,19,19,19,19,19,19,19,19,19,19
90,122,2/28/18,,0.094606543,0.411389206,0,0,0,0,0,0,0,0,0,0,2,38,66,80,98,102,41,65,85,109,111,108,107
91,123,3/1/16,9/7/17,0.063176895,0.411389206,0,0,2,2,3,5,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,124,6/29/17,,0.413090909,0.411389206,0,0,0,0,0,0,0,0,2,6,10,58,67,105,107,134,202,241,274,325,419,507,568
93,125,2/9/16,1/20/21,0.00055371,0.411389206,0,0,8,8,9,12,14,14,15,15,15,15,9,9,9,9,10,10,10,10,1,0,0
94,126,3/22/17,3/22/18,0.03021978,0.411389206,0,0,0,0,0,0,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
95,128,12/2/16,2/2/17,0.540983607,0.411389206,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,130,2/8/17,,0.009894459,0.411389206,0,0,0,0,0,0,28,30,30,30,38,45,46,9,11,15,13,14,15,15,15,15,15
97,131,1/19/18,,0.252775406,0.411389206,0,0,0,0,0,0,0,0,0,4,29,60,73,84,145,205,207,206,289,261,266,277,296
98,132,1/30/18,1/25/21,0.048623853,0.411389206,0,0,0,0,0,0,0,0,0,0,50,170,327,359,485,618,574,188,176,176,176,56,0
99,133,3/3/16,3/18/21,0.35280509,0.411389206,0,0,0,0,0,0,0,33,94,160,223,223,248,537,555,566,567,1058,516,573,600,0,0
100,139,5/25/18,,0.16076555,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,96,106,104,154,151,168
101,143,7/3/18,,0.109343936,0.411389206,0,0,0,0,0,0,0,0,0,0,0,21,17,17,17,18,127,140,156,98,107,105,110
102,144,7/25/18,,0.43800813,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,9,25,59,124,215,262,297,330,373,401,431
103,145,7/27/18,1/4/21,0.01010101,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,12,12,12,12,9,9,0,0
104,146,7/20/18,,0.018200202,0.411389206,0,0,0,0,0,0,0,0,0,0,0,2,4,49,117,186,290,368,432,488,317,323,18
105,147,8/1/18,,2.583418629,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,31,290,971,1413,2290,2779,2969,2278,2134,2377,2524
106,148,8/1/18,,0.018423746,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,20,11,18,26,39,39,39,48,46,20,18
107,149,8/2/18,,0.136270492,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,100,125,130,129,129,128,132,134,134,133,133
108,425,6/13/19,,0.069591528,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,36,36,36,38,41,46
109,504,11/12/18,,0.043478261,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,62,114,117,121,292,212,208,38,38,38
110,561,3/6/18,,0.036444444,0.411389206,0,0,0,0,0,0,0,0,0,0,3,22,28,31,28,28,28,37,41,41,41,41,41
111,615,1/19/18,,2.883859949,0.411389206,0,0,0,0,0,0,0,0,0,2,82,413,1010,1407,1556,1787,2053,186,202,420,1073,2355,3377
112,744,10/19/18,,0.023385301,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,18,33,39,70,33,22,21,21,21,21,21
113,1270,4/4/18,,0.147810219,0.411389206,0,0,0,0,0,0,0,0,0,0,40,47,74,96,115,151,182,218,125,123,155,180,162
114,1389,3/16/19,,1.504,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,617,733,840,1006,1029,1057,1107,1128
115,1747,4/26/18,3/13/20,0.029154519,0.411389206,0,0,0,0,0,0,0,0,0,0,0,24,12,18,19,20,20,20,0,0,0,0,0
116,1907,2/19/20,,0.212195122,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,59,77,91,87
117,2230,5/30/18,11/29/18,0.016483517,0.411389206,0,0,0,0,0,0,0,0,0,0,0,57,156,0,0,0,0,0,0,0,0,0,0
118,2410,11/1/16,1/17/20,0.039282664,0.411389206,0,0,0,0,0,0,0,0,1,6,15,26,38,44,46,46,46,0,0,0,0,0,0
119,2435,2/24/20,2/26/20,9,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2675,8/27/19,,0.040955631,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,18,22,24,24,24
121,2726,6/11/18,10/2/20,0.028469751,0.411389206,0,0,0,0,0,0,0,0,0,0,0,31,24,24,25,25,21,24,24,24,0,0,0
122,2828,12/1/15,4/2/18,0.180751174,0.411389206,0,0,0,0,150,150,153,154,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0
123,3323,3/15/19,,0.105193076,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,57,55,71,71,71,79,79
