Unnamed: 0,org_id,base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21,age
83,115,0.015942826,0,0,3,8,13,13,14,14,14,15,17,21,23,23,23,25,32,33,29,32,36,32,29,
84,116,0.026933702,0,0,0,0,0,0,3,11,14,14,16,18,18,23,26,32,32,32,33,39,39,39,39,
85,117,0.105479452,0,0,0,0,0,0,39,58,65,86,92,96,102,114,124,132,138,144,143,154,154,154,154,
86,118,0.003769521,0,0,1,1,1,2,4,6,9,13,15,15,13,13,10,8,8,7,7,7,7,7,7,
87,119,0.712922173,0,0,0,0,0,0,0,19,19,19,19,38,42,58,109,317,528,708,747,692,792,881,971,
88,120,0.315659679,0,0,0,0,0,1,2,40,61,77,93,127,159,157,175,175,183,200,212,268,299,382,512,
89,121,0.013552069,0,0,0,0,0,0,0,8,9,14,17,19,19,19,19,19,19,19,19,19,19,19,19,
90,122,0.094606543,0,0,0,0,0,0,0,0,0,0,2,38,66,80,98,102,41,65,85,109,111,108,107,
92,124,0.413090909,0,0,0,0,0,0,0,0,2,6,10,58,67,105,107,134,202,241,274,325,419,507,568,
96,130,0.009894459,0,0,0,0,0,0,28,30,30,30,38,45,46,9,11,15,13,14,15,15,15,15,15,
97,131,0.252775406,0,0,0,0,0,0,0,0,0,4,29,60,73,84,145,205,207,206,289,261,266,277,296,
100,139,0.16076555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,96,106,104,154,151,168,
101,143,0.109343936,0,0,0,0,0,0,0,0,0,0,0,21,17,17,17,18,127,140,156,98,107,105,110,
102,144,0.43800813,0,0,0,0,0,0,0,0,0,0,0,0,9,25,59,124,215,262,297,330,373,401,431,
104,146,0.018200202,0,0,0,0,0,0,0,0,0,0,0,2,4,49,117,186,290,368,432,488,317,323,18,
105,147,2.583418629,0,0,0,0,0,0,0,0,0,0,0,0,31,290,971,1413,2290,2779,2969,2278,2134,2377,2524,
106,148,0.018423746,0,0,0,0,0,0,0,0,0,0,0,0,20,11,18,26,39,39,39,48,46,20,18,
107,149,0.136270492,0,0,0,0,0,0,0,0,0,0,0,0,100,125,130,129,129,128,132,134,134,133,133,
108,425,0.069591528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,36,36,36,38,41,46,
109,504,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,62,114,117,121,292,212,208,38,38,38,
110,561,0.036444444,0,0,0,0,0,0,0,0,0,0,3,22,28,31,28,28,28,37,41,41,41,41,41,
111,615,2.883859949,0,0,0,0,0,0,0,0,0,2,82,413,1010,1407,1556,1787,2053,186,202,420,1073,2355,3377,
112,744,0.023385301,0,0,0,0,0,0,0,0,0,0,0,0,18,33,39,70,33,22,21,21,21,21,21,
113,1270,0.147810219,0,0,0,0,0,0,0,0,0,0,40,47,74,96,115,151,182,218,125,123,155,180,162,
114,1389,1.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,617,733,840,1006,1029,1057,1107,1128,
116,1907,0.212195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,59,77,91,87,
120,2675,0.040955631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,18,22,24,24,24,
123,3323,0.105193076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,57,55,71,71,71,79,79,
124,3330,5.978723404,0,0,0,0,0,0,0,0,0,154,235,647,1013,1412,1764,2423,3026,4053,4450,5069,5463,6241,7025,
125,3607,0.420618557,0,0,0,0,0,0,0,0,0,0,0,0,7,19,43,81,157,194,254,289,371,409,408,
127,3897,0.082795699,0,0,0,0,0,0,0,0,0,0,0,0,9,34,58,65,69,69,69,68,69,76,77,
132,5127,0.102402023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,21,16,20,25,41,66,81,
133,5210,0.028284672,0,0,0,0,0,0,0,0,0,0,0,8,16,23,25,26,35,37,37,38,38,38,31,
134,5293,0.010692464,0,0,0,0,0,1,2,2,2,2,4,12,19,23,19,21,21,26,30,18,24,19,21,
135,5340,0.031620553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,22,39,38,23,20,21,24,
138,5768,0.047830923,0,0,0,0,0,0,0,0,0,0,0,0,15,34,38,40,41,44,44,43,43,43,43,
139,5803,0.057395144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,14,24,26,
140,5881,0.28062249,7,21,29,47,53,62,67,76,98,154,258,386,470,549,591,687,825,653,785,860,946,956,559,
144,6594,0.460220995,0,0,0,0,0,0,0,0,0,0,0,0,0,59,95,160,192,274,360,450,544,705,833,
145,6631,0.471910112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,
146,6739,0.026766595,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,7,12,14,20,20,22,23,25,
147,7165,0.181634712,0,0,0,0,0,0,0,0,0,0,0,0,15,24,24,39,79,102,128,147,158,169,180,
149,7181,0.021993127,0,0,0,0,0,0,3,6,7,14,14,17,16,22,23,43,130,224,266,268,233,27,32,
150,7676,0.157303371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,
