org_id,start_date,churn_date,age,base_growth,common_base_growth,2016,2017,2018,2019,2020,2021
117,4/5/17,,none,0.105479452,0.411389206,0,65,102,138,154,154
118,3/4/16,,none,0.003769521,0.411389206,1,9,13,8,7,7
119,7/12/17,,none,0.712922173,0.411389206,0,19,42,528,792,971
120,10/25/16,,none,0.315659679,0.411389206,0,61,159,183,299,512
121,6/2/17,,none,0.013552069,0.411389206,0,9,19,19,19,19
122,2/28/18,,none,0.094606543,0.411389206,0,0,66,41,111,107
123,3/1/16,9/7/17,555,0.063176895,0.411389206,3,0,0,0,0,0
124,6/29/17,,none,0.413090909,0.411389206,0,2,67,202,419,568
125,2/9/16,1/20/21,1807,0.00055371,0.411389206,9,15,9,10,1,0
126,3/22/17,3/22/18,365,0.03021978,0.411389206,0,11,0,0,0,0
128,12/2/16,2/2/17,62,0.540983607,0.411389206,0,0,0,0,0,0
130,2/8/17,,none,0.009894459,0.411389206,0,30,46,13,15,15
131,1/19/18,,none,0.252775406,0.411389206,0,0,73,207,266,296
132,1/30/18,1/25/21,1091,0.048623853,0.411389206,0,0,327,574,176,0
133,3/3/16,3/18/21,1841,0.35280509,0.411389206,0,94,248,567,600,0
139,5/25/18,,none,0.16076555,0.411389206,0,0,0,8,154,168
143,7/3/18,,none,0.109343936,0.411389206,0,0,17,127,107,110
144,7/25/18,,none,0.43800813,0.411389206,0,0,9,215,373,431
145,7/27/18,1/4/21,892,0.01010101,0.411389206,0,0,11,12,9,0
146,7/20/18,,none,0.018200202,0.411389206,0,0,4,290,317,18
147,8/1/18,,none,2.583418629,0.411389206,0,0,31,2290,2134,2524
148,8/1/18,,none,0.018423746,0.411389206,0,0,20,39,46,18
149,8/2/18,,none,0.136270492,0.411389206,0,0,100,129,134,133
425,6/13/19,,none,0.069591528,0.411389206,0,0,0,30,38,46
504,11/12/18,,none,0.043478261,0.411389206,0,0,0,121,38,38
561,3/6/18,,none,0.036444444,0.411389206,0,0,28,28,41,41
615,1/19/18,,none,2.883859949,0.411389206,0,0,1010,2053,1073,3377
744,10/19/18,,none,0.023385301,0.411389206,0,0,18,33,21,21
1270,4/4/18,,none,0.147810219,0.411389206,0,0,74,182,155,162
1389,3/16/19,,none,1.504,0.411389206,0,0,0,733,1057,1128
1747,4/26/18,3/13/20,687,0.029154519,0.411389206,0,0,12,20,0,0
1907,2/19/20,,none,0.212195122,0.411389206,0,0,0,0,77,87
2230,5/30/18,11/29/18,183,0.016483517,0.411389206,0,0,156,0,0,0
2410,11/1/16,1/17/20,1172,0.039282664,0.411389206,0,1,38,46,0,0
2435,2/24/20,2/26/20,2,9,0.411389206,0,0,0,0,0,0
2675,8/27/19,,none,0.040955631,0.411389206,0,0,0,14,24,24
